"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"8406",286350,0,"TOWN HOUSES-CONDOMINIUMS",1,2,5,1258,2,3,0,4,4,3,1980,1980,100,"N","N"," ",2,"1760 15TH AVE S 98144"
"8436",859090,485,"Apartment",1,6,47,751,3,3,0,4,5,3,1999,1999,100,"Y","Y"," ",2,"404 TERRY AVE 98104"
"8457",411460,1365,"7 - UNIT APARTMENT",1,2,7,629,3,5,43,4,4,3,1964,1983,100,"N","N","Y",1,"522 LAKESIDE AVE S 98144"
"8479",372680,305,"APT",1,3,14,908,3,3,20,4,5,4,1976,1995,100,"N","N","N",1,"3434 BEACON AVE S 98144"
"8564",799500,0,"FLAT UNITS",4,2,34,721,4,3,0,4,4,3,2004,2004,100,"N","Y","N",2,"1746 S CHARLES ST 98144"
"8605",397950,0,"15 UNIT CONDO",1,2,15,718,5,3,0,4,5,4,1957,1985,100,"N","Y","N",1,"414 LAKESIDE AVE S 98144"
"8629",332000,800,"10 unit apt",2,2,10,530,3,2,0,4,5,4,1910,1974,100,"N","N","N",1,"1617 S LANE ST 98144"
"8639",754830,485,"4-PLEX",1,2,4,756,3,3,50,4,4,3,1963,1982,100,"N","N","N",2,"1775 1/2 17TH AVE S 98144"
"8718",427900,0,"2 UNIT CONDO",1,2,2,1338,3,3,0,4,6,3,1992,1992,100,"N","Y","Y",2,"3512 S LESCHI PL 98144"
"8761",524780,2345,"MIXED USE APT",1,4,30,495,2,3,0,3,4,4,1909,1979,100,"Y","Y","N",1,"657 S KING ST 98104"
"8783",128230,1210,"GALE COURT APTS",4,2,24,850,3,2,0,4,4,4,1956,1989,100,"N","N","N",1,"3333 GALE PL S 98144"
"8788",60501,0,"FLATS",1,3,16,605,3,3,0,3,5,5,1930,1985,100,"N","Y","N",1,"2810 16TH AVE S 98144"
"8835",8600,0,"75 Unit Condo",1,7,75,691,3,3,15,4,5,3,2002,2002,100,"Y","Y","N",2,"668 S LANE ST 98104"
"8844",331950,1340,"4-PLEX",1,2,4,762,3,3,0,4,4,3,1918,1980,100,"N","N","N",0,"1842 S KING ST 98144"
"8848",162404,9248,"THE CRESTVIEW",1,3,54,584,2,2,0,4,4,3,1968,1985,100,"N","Y","N",1,"3630 RENTON AVE S 98144"
"8877",937930,40,"VALERIE",1,2,4,657,3,2,0,4,3,3,1964,1979,100,"N","N","N",1,"528 24TH AVE S 98144"
"8909",524780,1865,"INTERNATIONAL HOUSE",1,8,99,513,2,3,0,2,4,3,1979,1988,100,"Y","Y","N",1,"607 MAYNARD AVE S 98104"
"8926",90700,100," ",1,3,2,796,1,2,0,4,4,3,1902,1975,0,"N","N","N",1,"2532 BEACON AVE S 98144"
"8987",197920,250,"JOHN ALDEN APTS",1,4,80,520,3,4,15,3,6,4,1924,1988,100,"Y","Y","N",1,"1019 TERRY AVE 98104"
"9036",128230,64,"4 PLEX",1,2,4,977,2,2,0,4,2,3,1919,1972,100,"N","N","N",0,"3208 MCCLINTOCK AVE S 98144"
"9050",331950,2080,"4-PLEX",1,2,4,1043,3,3,0,4,4,3,1910,1974,100,"N","N","N",1,"1809 S WELLER ST 98144"
"9079",90700,71,"APARTMENT",1,2,5,740,3,3,0,4,4,4,1924,1981,100,"N","N","N",1,"2522 BEACON AVE S 98144"
"9147",331950,1670,"WHEELER APTS 50 UNITS",2,3,50,555,3,3,0,4,2,3,1968,1981,100,"N","Y","N",1,"1600 S WELLER ST 98144"
