"","Major","Minor","BldgNbr","NbrBldgs","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","NbrStories","PredominantUse","Shape","ConstrClass","BldgQuality","BldgDescr","BldgGrossSqFt","BldgNetSqFt","YrBuilt","EffYr","PcntComplete","HeatingSystem","Sprinklers","Elevators"
"1289",690920,530,1,1,"1400         31ST                      AVE  S  98144","1400","   ","  ","31ST                     ","AVE ","S ","98144",1,353,2,3,5,"Retail Store                                      ",3568,3568,1931,1980,100,4,"N"," "
"1290",182404,9063,2,1,"4401         EAST MARGINAL             WAY  S  98134","4401","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",1,407,2,5,4,"WAREHOUSE ADDITION                                ",60151,60151,2007,2007,100,6,"Y"," "
"1291",505830,110,1,1,"2705      S  WINTHROP                  ST      98144","2705","   ","S ","WINTHROP                 ","ST  ","  ","98144",1,528,2,4,4,"SHOP                                              ",1140,1140,1967,1980,100,6,"N"," "
"1292",766060,310,1,1,"1545         12TH                      AVE  S  98144","1545","   ","  ","12TH                     ","AVE ","S ","98144",2,352,2,4,5,"S.H.A. APTS                                       ",4397,3450,1900,1994,100,3,"N","N"
"1293",766620,2545,2,1,"815          WESTERN                   AVE     98104","815","   ","  ","WESTERN                  ","AVE ","  ","98104",4,345,3,4,4,"Parking Garage                                    ",40236,40236,1906,1955,100,20,"Y"," "
"1294",766620,7190,1,1,"2233         1ST                       AVE  S  98134","2233","   ","  ","1ST                      ","AVE ","S ","98134",2,406,2,4,2,"WAREHOUSE                                         ",20970,20970,1910,1945,100,6,"N"," "
"1295",567950,516,1,1,"3300         AIRPORT                   WAY  S  98134","3300","   ","  ","AIRPORT                  ","WAY ","S ","98134",1,494,2,3,4,"FABRIFORM PLASTICS INC                            ",25600,25600,1957,1959,100,6,"Y"," "
"1296",92404,9006,1,1,"1701         23RD                      AVE  S  98144","1701","   ","  ","23RD                     ","AVE ","S ","98144",4,300,2,4,4,"THE CENTURY HOUSE                                 ",58485,44364,1971,1985,100,2,"N","Y"
"1297",766620,7583,1,1,"3440         EAST MARGINAL             WAY  S  98134","3440","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",2,407,2,3,4,"OFC & WHSE                                        ",27500,27500,1952,1960,100,6,"Y"," "
"1298",766620,6133,1,1,"2250         OCCIDENTAL                AVE  S  98134","2250","   ","  ","OCCIDENTAL               ","AVE ","S ","98134",2,407,2,3,3,"DISTRIBUTION WAREHOUSE                            ",21870,21870,1955,1960,100,4,"N"," "
"1299",912200,1075,5,1,"2300         26TH                      AVE  S  98144","2300","   ","  ","26TH                     ","AVE ","S ","98144",1,468,2,5,4,"WAREHOUSE                                         ",12200,12200,1953,1953,100,20," "," "
"1300",817010,455,1,1,"1225      S  WELLER                    ST      98144","1225","   ","S ","WELLER                   ","ST  ","  ","98144",5,344,2,3,4,"The Weller Bldg. - Office Building                ",70332,44417,2001,2001,100,17,"Y","Y"
"1301",859290,105,1,1,"802       S  DEARBORN                  ST      98104","802","   ","S ","DEARBORN                 ","ST  ","  ","98104",5,459,3,3,4,"Community Center & Assisted Housing               ",102796,102796,1999,1999,100,17,"Y","Y"
"1302",766620,3540,2,1,"733       S  STACY                     ST      98134","733","   ","S ","STACY                    ","ST  ","  ","98134",1,407,2,3,4,"TILT-UP                                           ",12060,12060,1962,1965,100,6,"Y"," "
