"","Major","Minor","BldgNbr","NbrLivingUnits","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","Stories","BldgGrade","BldgGradeVar","SqFt1stFloor","SqFtHalfFloor","SqFt2ndFloor","SqFtUpperFloor","SqFtUnfinFull","SqFtUnfinHalf","SqFtTotLiving","SqFtTotBasement","SqFtFinBasement","FinBasementGrade","SqFtGarageBasement","SqFtGarageAttached","DaylightBasement","SqFtOpenPorch","SqFtEnclosedPorch","SqFtDeck","HeatSystem","HeatSource","BrickStone","ViewUtilization","Bedrooms","BathHalfCount","Bath3qtrCount","BathFullCount","FpSingleStory","FpMultiStory","FpFreestanding","FpAdditional","YrBuilt","YrRenovated","PcntComplete","Obsolescence","PcntNetCondition","Condition","AddnlCost"
"1996",125020,3695,1,1,"1502   LAKE WASHINGTON BLVD S  98144","1502","   ","  ","LAKE WASHINGTON          ","BLVD  ","S ","98144",1.5,8,0,1020,500,0,0,0,0,1640,970,120,7,0,0,"N",0,0,470,5,2,0,"Y",5,1,0,1,1,0,1,0,1924,0,0,0,0,3,0
"1997",125020,3810,1,1,"1708   35TH AVE S  98144","1708","   ","  ","35TH                     ","AVE   ","S ","98144",2,8,0,1480,0,680,0,0,0,3020,1340,860,7,480,0,"Y",0,0,240,5,3,0," ",3,1,0,2,0,1,0,1,1960,0,0,0,0,3,0
"1998",125020,3825,3,1,"1800   LAKE WASHINGTON BLVD S  98144","1800","   ","  ","LAKE WASHINGTON          ","BLVD  ","S ","98144",1,5,0,670,0,0,0,0,0,670,290,0,0,0,0," ",200,0,0,1,2,0," ",2,0,0,1,0,0,0,0,1915,0,0,0,0,3,0
"1999",125020,3825,1,1,"1800   LAKE WASHINGTON BLVD S  98144","1800","   ","  ","LAKE WASHINGTON          ","BLVD  ","S ","98144",1,5,0,670,0,0,0,0,0,670,290,0,0,0,0," ",150,0,0,1,2,0," ",2,0,0,1,0,0,0,0,1915,0,0,0,0,3,0
"2000",125020,3825,4,1,"1800   LAKE WASHINGTON BLVD S  98144","1800","   ","  ","LAKE WASHINGTON          ","BLVD  ","S ","98144",1,5,0,670,0,0,0,0,0,670,290,0,0,0,0," ",290,0,0,1,2,0," ",2,0,0,1,0,0,0,0,1915,0,0,0,0,3,0
"2001",125020,3825,2,1,"1800   LAKE WASHINGTON BLVD S  98144","1800","   ","  ","LAKE WASHINGTON          ","BLVD  ","S ","98144",1,5,0,670,0,0,0,0,0,670,170,0,0,0,0,"Y",200,0,0,1,2,0," ",2,0,0,1,0,0,0,0,1915,0,0,0,0,3,0
"2002",125020,4130,1,1,"3500  S KING ST   98144","3500","   ","S ","KING                     ","ST    ","  ","98144",2,9,0,1110,0,480,0,0,0,2170,1130,580,8,0,400,"Y",90,0,240,5,2,0,"Y",3,0,1,2,0,1,0,0,1910,1983,0,0,0,3,0
"2003",246090,30,1,3,"941   24TH AVE S  98144","941","   ","  ","24TH                     ","AVE   ","S ","98144",2,7,0,1320,0,1320,0,0,0,2640,0,0,0,0,0," ",0,0,0,4,3,0," ",6,3,0,3,0,0,0,0,1983,0,0,0,0,3,0
"2004",246090,36,1,1,"949   24TH AVE S  98144","949","   ","  ","24TH                     ","AVE   ","S ","98144",2,7,0,700,0,700,0,0,0,1400,700,0,0,0,0,"N",0,0,0,5,2,0,"N",2,0,0,1,0,0,0,0,1900,0,0,0,0,4,0
"2005",246090,65,1,1,"924   23RD AVE S  98144","924","   ","  ","23RD                     ","AVE   ","S ","98144",1,8,0,1150,0,0,0,0,0,2140,990,990,7,0,0," ",70,0,140,5,2,0," ",4,0,0,4,0,0,0,0,1905,2004,0,0,0,3,0
"2006",128230,95,1,1,"3225   MCCLINTOCK AVE S  98144","3225","   ","  ","MCCLINTOCK               ","AVE   ","S ","98144",1,6,0,1210,0,0,0,0,0,1210,210,0,0,210,0," ",40,0,0,5,2,0," ",3,0,0,1,0,0,0,0,1903,0,0,0,0,3,0
"2007",128230,470,1,1,"3219   CLAREMONT AVE S  98144","3219","   ","  ","CLAREMONT                ","AVE   ","S ","98144",1,6,0,840,0,0,0,0,0,840,840,0,0,310,0,"N",50,0,0,5,1,0,"N",2,0,0,1,0,0,0,0,1924,0,0,0,0,3,0
"2008",128230,714,1,1,"3314 B  CLAREMONT AVE S  98144","3314","B  ","  ","CLAREMONT                ","AVE   ","S ","98144",2,8,0,510,0,510,0,0,0,1460,440,440,8,0,0," ",0,0,500,6,2,0," ",3,1,0,2,0,0,0,0,2010,0,0,0,0,3,0
"2009",128230,940,1,1,"3273   MCCLINTOCK AVE S  98144","3273","   ","  ","MCCLINTOCK               ","AVE   ","S ","98144",1,7,0,1090,0,0,0,0,0,1990,1090,900,6,0,260,"N",40,0,410,5,2,100,"N",4,1,1,1,0,0,0,0,1948,0,0,0,0,3,0
"2010",246090,50,1,1,"936   23RD AVE S  98144","936","   ","  ","23RD                     ","AVE   ","S ","98144",1.5,7,0,880,400,0,0,0,0,2160,880,880,6,0,0,"N",40,60,0,5,1,0,"N",3,0,0,1,0,0,0,0,1910,0,0,0,0,4,0
"2011",379600,54,1,2,"119   26TH AVE S  98144","119","   ","  ","26TH                     ","AVE   ","S ","98144",1.5,7,0,920,550,0,0,0,0,1470,0,0,0,0,0,"N",80,0,120,5,2,0,"N",3,0,1,1,0,0,0,0,1902,1989,0,0,0,4,0
"2012",379600,75,1,1,"2608  S WASHINGTON ST   98144","2608","   ","S ","WASHINGTON               ","ST    ","  ","98144",1.5,7,0,1010,700,0,0,0,0,2520,1010,810,6,200,0,"N",40,0,0,5,2,90,"N",4,0,0,1,1,0,0,0,1929,0,0,0,0,3,0
